WKT,PIXEL,X,Y
"POLYGON ((-80.157999887173 40.6807767707564,-80.1583224380156 40.6897788589099,-80.1464960538226 40.6900238110888,-80.1461750853492 40.6810216906769,-80.157999887173 40.6807767707564))",134111,-80.15225,40.68540
"POLYGON ((-80.1461750853492 40.6810216906769,-80.1464960538226 40.6900238110888,-80.1346695836514 40.6902675577133,-80.1343501975819 40.6812654052017,-80.1461750853492 40.6810216906769))",135111,-80.14042,40.68564
"POLYGON ((-80.1343501975819 40.6812654052017,-80.1346695836514 40.6902675577133,-80.1228430279255 40.6905100987706,-80.1225252242941 40.6815079143179,-80.1343501975819 40.6812654052017))",136111,-80.12860,40.68589
"POLYGON ((-80.1225252242941 40.6815079143179,-80.1228430279255 40.6905100987706,-80.1110163870681 40.6907514342477,-80.110700165909 40.6817492180126,-80.1225252242941 40.6815079143179))",137111,-80.11677,40.68613
"POLYGON ((-80.110700165909 40.6817492180126,-80.1110163870681 40.6907514342477,-80.0991896615024 40.6909915641319,-80.0988750228497 40.6819893162732,-80.110700165909 40.6817492180126))",138111,-80.10495,40.68637
"POLYGON ((-80.0988750228497 40.6819893162732,-80.0991896615024 40.6909915641319,-80.0873628516517 40.6912304884105,-80.0870497955393 40.6822282090869,-80.0988750228497 40.6819893162732))",139111,-80.09312,40.68661
"POLYGON ((-80.0870497955393 40.6822282090869,-80.0873628516517 40.6912304884105,-80.0755359579395 40.6914682070709,-80.0752244844009 40.682465896441,-80.0870497955393 40.6822282090869))",140111,-80.08129,40.68685
"POLYGON ((-80.0752244844009 40.682465896441,-80.0755359579395 40.6914682070709,-80.063708980789 40.6917047201005,-80.0633990898578 40.682702378323,-80.0752244844009 40.682465896441))",141111,-80.06947,40.68709
"POLYGON ((-80.0633990898578 40.682702378323,-80.063708980789 40.6917047201005,-80.0518819206237 40.6919400274866,-80.0515736123332 40.6829376547204,-80.0633990898578 40.682702378323))",142111,-80.05764,40.68732
"POLYGON ((-80.0515736123332 40.6829376547204,-80.0518819206237 40.6919400274866,-80.0400547778669 40.692174129217,-80.0397480522503 40.6831717256206,-80.0515736123332 40.6829376547204))",143111,-80.04581,40.68756
"POLYGON ((-80.1695005562425 40.671528569068,-80.1698246026301 40.6805306454532,-80.157999887173 40.6807767707564,-80.1576774226969 40.6717746619567,-80.1695005562425 40.671528569068))",133112,-80.16375,40.67615
"POLYGON ((-80.1576774226969 40.6717746619567,-80.157999887173 40.6807767707564,-80.1461750853492 40.6810216906769,-80.1458542028194 40.6720195496213,-80.1576774226969 40.6717746619567))",134112,-80.15193,40.67640
"POLYGON ((-80.1458542028194 40.6720195496213,-80.1461750853492 40.6810216906769,-80.1343501975819 40.6812654052017,-80.1340308970328 40.6722632320489,-80.1458542028194 40.6720195496213))",135112,-80.14010,40.67664
"POLYGON ((-80.1340308970328 40.6722632320489,-80.1343501975819 40.6812654052017,-80.1225252242941 40.6815079143179,-80.1222075057601 40.6725057092267,-80.1340308970328 40.6722632320489))",136112,-80.12828,40.67689
"POLYGON ((-80.1222075057601 40.6725057092267,-80.1225252242941 40.6815079143179,-80.110700165909 40.6817492180126,-80.1103840294242 40.6727469811416,-80.1222075057601 40.6725057092267))",137112,-80.11645,40.67713
"POLYGON ((-80.1103840294242 40.6727469811416,-80.110700165909 40.6817492180126,-80.0988750228497 40.6819893162732,-80.0985604684481 40.6729870477811,-80.1103840294242 40.6727469811416))",138112,-80.10463,40.67737
"POLYGON ((-80.0985604684481 40.6729870477811,-80.0988750228497 40.6819893162732,-80.0870497955393 40.6822282090869,-80.0867368232547 40.6732259091323,-80.0985604684481 40.6729870477811))",139112,-80.09281,40.67761
"POLYGON ((-80.0867368232547 40.6732259091323,-80.0870497955393 40.6822282090869,-80.0752244844009 40.682465896441,-80.0749130942671 40.6734635651827,-80.0867368232547 40.6732259091323))",140112,-80.08098,40.67785
"POLYGON ((-80.0749130942671 40.6734635651827,-80.0752244844009 40.682465896441,-80.0633990898578 40.682702378323,-80.0630892819082 40.6737000159197,-80.0749130942671 40.6734635651827))",141112,-80.06916,40.67808
"POLYGON ((-80.0630892819082 40.6737000159197,-80.0633990898578 40.682702378323,-80.0515736123332 40.6829376547204,-80.0512653866011 40.6739352613307,-80.0630892819082 40.6737000159197))",142112,-80.05733,40.67832
"POLYGON ((-80.0512653866011 40.6739352613307,-80.0515736123332 40.6829376547204,-80.0397480522503 40.6831717256206,-80.0394414087688 40.6741693014033,-80.0512653866011 40.6739352613307))",143112,-80.04551,40.67855
"POLYGON ((-80.0394414087688 40.6741693014033,-80.0397480522503 40.6831717256206,-80.0279224100323 40.6834045910114,-80.0276173488344 40.6744021361252,-80.0394414087688 40.6741693014033))",144112,-80.03368,40.67879
"POLYGON ((-80.0276173488344 40.6744021361252,-80.0279224100323 40.6834045910114,-80.0160966861024 40.6836362508804,-80.015793207221 40.6746337654839,-80.0276173488344 40.6744021361252))",145112,-80.02186,40.67902
"POLYGON ((-80.015793207221 40.6746337654839,-80.0160966861024 40.6836362508804,-80.004270880884 40.6838667052153,-80.0039689843516 40.6748641894673,-80.015793207221 40.6746337654839))",146112,-80.01003,40.67925
"POLYGON ((-80.0039689843516 40.6748641894673,-80.004270880884 40.6838667052153,-79.9924449948002 40.684095954004,-79.9921446806495 40.6750934080631,-80.0039689843516 40.6748641894673))",147112,-79.99821,40.67948
"POLYGON ((-79.9921446806495 40.6750934080631,-79.9924449948002 40.684095954004,-79.9806190282746 40.6843239972342,-79.9803202965377 40.6753214212593,-79.9921446806495 40.6750934080631))",148112,-79.98638,40.67971
"POLYGON ((-79.9803202965377 40.6753214212593,-79.9806190282746 40.6843239972342,-79.9687929817302 40.684550834894,-79.9684958324393 40.6755482290437,-79.9803202965377 40.6753214212593))",149112,-79.97456,40.67994
"POLYGON ((-79.9684958324393 40.6755482290437,-79.9687929817302 40.684550834894,-79.9569668555906 40.6847764669713,-79.9566712887776 40.6757738314043,-79.9684958324393 40.6755482290437))",150112,-79.96273,40.68016
"POLYGON ((-79.9566712887776 40.6757738314043,-79.9569668555906 40.6847764669713,-79.9451406502789 40.6850008934542,-79.9448466659757 40.6759982283292,-79.9566712887776 40.6757738314043))",151112,-79.95091,40.68039
"POLYGON ((-79.9448466659757 40.6759982283292,-79.9451406502789 40.6850008934542,-79.9333143662187 40.6852241143307,-79.9330219644569 40.6762214198066,-79.9448466659757 40.6759982283292))",152112,-79.93908,40.68061
"POLYGON ((-79.9330219644569 40.6762214198066,-79.9333143662187 40.6852241143307,-79.9214880038333 40.6854461295892,-79.9211971846443 40.6764434058245,-79.9330219644569 40.6762214198066))",153112,-79.92726,40.68083
"POLYGON ((-79.9211971846443 40.6764434058245,-79.9214880038333 40.6854461295892,-79.9096615635461 40.6856669392178,-79.9093723269612 40.6766641863714,-79.9211971846443 40.6764434058245))",154112,-79.91543,40.68106
"POLYGON ((-79.9093723269612 40.6766641863714,-79.9096615635461 40.6856669392178,-79.8978350457806 40.6858865432049,-79.8975473918308 40.6768837614354,-79.9093723269612 40.6766641863714))",155112,-79.90360,40.68128
"POLYGON ((-79.8975473918308 40.6768837614354,-79.8978350457806 40.6858865432049,-79.8860084509601 40.6861049415388,-79.8857223796765 40.677102131005,-79.8975473918308 40.6768837614354))",156112,-79.89178,40.68149
"POLYGON ((-79.8857223796765 40.677102131005,-79.8860084509601 40.6861049415388,-79.8741817795081 40.6863221342079,-79.8738972909215 40.6773192950685,-79.8857223796765 40.677102131005))",157112,-79.87995,40.68171
"POLYGON ((-79.8738972909215 40.6773192950685,-79.8741817795081 40.6863221342079,-79.8623550318481 40.6865381212008,-79.862072125989 40.6775352536146,-79.8738972909215 40.6773192950685))",158112,-79.86813,40.68193
"POLYGON ((-79.862072125989 40.6775352536146,-79.8623550318481 40.6865381212008,-79.8505282084037 40.6867529025061,-79.8502468853025 40.6777500066318,-79.862072125989 40.6775352536146))",159112,-79.85630,40.68214
"POLYGON ((-79.8502468853025 40.6777500066318,-79.8505282084037 40.6867529025061,-79.8387013095982 40.6869664781123,-79.8384215692853 40.6779635541087,-79.8502468853025 40.6777500066318))",160112,-79.84447,40.68236
"POLYGON ((-79.8384215692853 40.6779635541087,-79.8387013095982 40.6869664781123,-79.8268743358552 40.6871788480082,-79.8265961783607 40.678175896034,-79.8384215692853 40.6779635541087))",161112,-79.83265,40.68257
"POLYGON ((-79.8265961783607 40.678175896034,-79.8268743358552 40.6871788480082,-79.8150472875983 40.6873900121825,-79.814770712952 40.6783870323964,-79.8265961783607 40.678175896034))",162112,-79.82082,40.68278
"POLYGON ((-79.814770712952 40.6783870323964,-79.8150472875983 40.6873900121825,-79.8032201652511 40.687599970624,-79.8029451734827 40.6785969631849,-79.814770712952 40.6783870323964))",163112,-79.80900,40.68299
"POLYGON ((-79.8029451734827 40.6785969631849,-79.8032201652511 40.687599970624,-79.791392969237 40.6878087233217,-79.7911195603762 40.6788056883882,-79.8029451734827 40.6785969631849))",164112,-79.79717,40.68320
"POLYGON ((-79.7911195603762 40.6788056883882,-79.791392969237 40.6878087233217,-79.7795656999796 40.6880162702645,-79.7792938740559 40.6790132079954,-79.7911195603762 40.6788056883882))",165112,-79.78534,40.68341
"POLYGON ((-79.7792938740559 40.6790132079954,-79.7795656999796 40.6880162702645,-79.7677383579027 40.6882226114413,-79.7674681149452 40.6792195219954,-79.7792938740559 40.6790132079954))",166112,-79.77352,40.68362
"POLYGON ((-79.7674681149452 40.6792195219954,-79.7677383579027 40.6882226114413,-79.7559109434297 40.6884277468414,-79.7556422834675 40.6794246303774,-79.7674681149452 40.6792195219954))",167112,-79.76169,40.68382
"POLYGON ((-80.1691765966098 40.6625264722571,-80.1695005562425 40.671528569068,-80.1576774226969 40.6717746619567,-80.1573550445528 40.6627725327338,-80.1691765966098 40.6625264722571))",133113,-80.16343,40.66715
"POLYGON ((-80.1573550445528 40.6627725327338,-80.1576774226969 40.6717746619567,-80.1458542028194 40.6720195496213,-80.1455334061986 40.6630173881452,-80.1573550445528 40.6627725327338))",134113,-80.15161,40.66740
"POLYGON ((-80.1455334061986 40.6630173881452,-80.1458542028194 40.6720195496213,-80.1340308970328 40.6722632320489,-80.1337116819698 40.6632610384782,-80.1455334061986 40.6630173881452))",135113,-80.13978,40.66764
"POLYGON ((-80.1337116819698 40.6632610384782,-80.1340308970328 40.6722632320489,-80.1222075057601 40.6725057092267,-80.1218898722892 40.66350348372,-80.1337116819698 40.6632610384782))",136113,-80.12796,40.66788
"POLYGON ((-80.1218898722892 40.66350348372,-80.1222075057601 40.6725057092267,-80.1103840294242 40.6727469811416,-80.1100679775796 40.6637447238577,-80.1218898722892 40.66350348372))",137113,-80.11614,40.66813
"POLYGON ((-80.1100679775796 40.6637447238577,-80.1103840294242 40.6727469811416,-80.0985604684481 40.6729870477811,-80.0982459982637 40.6639847588786,-80.1100679775796 40.6637447238577))",138113,-80.10431,40.66837
"POLYGON ((-80.0982459982637 40.6639847588786,-80.0985604684481 40.6729870477811,-80.0867368232547 40.6732259091323,-80.0864239347644 40.6642235887699,-80.0982459982637 40.6639847588786))",139113,-80.09249,40.66861
"POLYGON ((-80.0864239347644 40.6642235887699,-80.0867368232547 40.6732259091323,-80.0749130942671 40.6734635651827,-80.0746017875045 40.664461213519,-80.0864239347644 40.6642235887699))",140113,-80.08067,40.66884
