PIXEL,X,Y,id
134111,-80.1522483661,40.6854004361,"134,111"
135111,-80.1404227301,40.6856447694,"135,111"
136111,-80.1285970084,40.6858878973,"136,111"
137111,-80.1167712013,40.6861298196,"137,111"
138111,-80.1049453093,40.6863705364,"138,111"
139111,-80.0931193329,40.6866100478,"139,111"
140111,-80.0812932724,40.6868483535,"140,111"
141111,-80.0694671282,40.6870854538,"141,111"
142111,-80.0576409009,40.6873213484,"142,111"
143111,-80.0458145908,40.6875560376,"143,111"
133112,-80.1637506172,40.6761528150,"133,112"
134112,-80.1519266495,40.6763983215,"134,112"
135112,-80.1401025957,40.6766426226,"135,112"
136112,-80.1282784562,40.6768857184,"136,112"
137112,-80.1164542313,40.6771276089,"137,112"
138112,-80.1046299217,40.6773682940,"138,112"
139112,-80.0928055275,40.6776077738,"139,112"
140112,-80.0809810494,40.6778460482,"140,112"
141112,-80.0691564876,40.6780831172,"141,112"
142112,-80.0573318427,40.6783189808,"142,112"
143112,-80.0455071150,40.6785536390,"143,112"
144112,-80.0336823050,40.6787870918,"144,112"
145112,-80.0218574130,40.6790193391,"145,112"
146112,-80.0100324396,40.6792503810,"146,112"
147112,-79.9982073852,40.6794802174,"147,112"
148112,-79.9863822501,40.6797088484,"148,112"
149112,-79.9745570347,40.6799362739,"149,112"
150112,-79.9627317396,40.6801624938,"150,112"
151112,-79.9509063652,40.6803875083,"151,112"
152112,-79.9390809117,40.6806113172,"152,112"
153112,-79.9272553798,40.6808339206,"153,112"
154112,-79.9154297697,40.6810553185,"154,112"
155112,-79.9036040820,40.6812755108,"155,112"
156112,-79.8917783171,40.6814944976,"156,112"
157112,-79.8799524753,40.6817122787,"157,112"
158112,-79.8681265571,40.6819288543,"158,112"
159112,-79.8563005629,40.6821442242,"159,112"
160112,-79.8444744931,40.6823583886,"160,112"
161112,-79.8326483483,40.6825713473,"161,112"
162112,-79.8208221287,40.6827831004,"162,112"
163112,-79.8089958348,40.6829936479,"163,112"
164112,-79.7971694671,40.6832029896,"164,112"
165112,-79.7853430259,40.6834111258,"165,112"
166112,-79.7735165117,40.6836180562,"166,112"
167112,-79.7616899249,40.6838237809,"167,112"
133113,-80.1634274050,40.6671507122,"133,113"
134113,-80.1516050191,40.6673961863,"134,113"
135113,-80.1397825470,40.6676404553,"135,113"
136113,-80.1279599893,40.6678835191,"136,113"
137113,-80.1161373463,40.6681253777,"137,113"
138113,-80.1043146184,40.6683660311,"138,113"
139113,-80.0924918062,40.6686054793,"139,113"
140113,-80.0806689099,40.6688437223,"140,113"
141113,-80.0688459301,40.6690807601,"141,113"
142113,-80.0570228672,40.6693165927,"142,113"
143113,-80.0451997215,40.6695512200,"143,113"
144113,-80.0333764936,40.6697846420,"144,113"
145113,-80.0215531837,40.6700168587,"145,113"
146113,-80.0097297925,40.6702478702,"146,113"
147113,-79.9979063201,40.6704776763,"147,113"
148113,-79.9860827672,40.6707062772,"148,113"
149113,-79.9742591341,40.6709336727,"149,113"
150113,-79.9624354213,40.6711598629,"150,113"
151113,-79.9506116291,40.6713848477,"151,113"
152113,-79.9387877580,40.6716086272,"152,113"
153113,-79.9269638084,40.6718312013,"153,113"
154113,-79.9151397807,40.6720525700,"154,113"
155113,-79.9033156754,40.6722727333,"155,113"
156113,-79.8914914929,40.6724916912,"156,113"
157113,-79.8796672335,40.6727094436,"157,113"
158113,-79.8678428978,40.6729259907,"158,113"
159113,-79.8560184862,40.6731413323,"159,113"
160113,-79.8441939990,40.6733554684,"160,113"
161113,-79.8323694367,40.6735683991,"161,113"
162113,-79.8205447998,40.6737801243,"162,113"
163113,-79.8087200885,40.6739906440,"163,113"
164113,-79.7968953035,40.6741999582,"164,113"
165113,-79.7850704450,40.6744080669,"165,113"
166113,-79.7732455136,40.6746149701,"166,113"
167113,-79.7614205096,40.6748206678,"167,113"
168113,-79.7495954334,40.6750251599,"168,113"
169113,-79.7377702855,40.6752284464,"169,113"
170113,-79.7259450664,40.6754305274,"170,113"
171113,-79.7141197763,40.6756314028,"171,113"
172113,-79.7022944158,40.6758310726,"172,113"
173113,-79.6904689853,40.6760295368,"173,113"
174113,-79.6786434852,40.6762267954,"174,113"
133114,-80.1631042794,40.6581485890,"133,114"
134114,-80.1512834747,40.6583940308,"134,114"
135114,-80.1394625840,40.6586382676,"135,114"
136114,-80.1276416076,40.6588812994,"136,114"
137114,-80.1158205460,40.6591231261,"137,114"
138114,-80.1039993996,40.6593637479,"138,114"
139114,-80.0921781688,40.6596031646,"139,114"
140114,-80.0803568541,40.6598413762,"140,114"
141114,-80.0685354558,40.6600783828,"141,114"
142114,-80.0567139745,40.6603141842,"142,114"
143114,-80.0448924104,40.6605487806,"143,114"
144114,-80.0330707641,40.6607821719,"144,114"
145114,-80.0212490359,40.6610143581,"145,114"
146114,-80.0094272263,40.6612453391,"146,114"
147114,-79.9976053357,40.6614751150,"147,114"
148114,-79.9857833646,40.6617036857,"148,114"
149114,-79.9739613133,40.6619310513,"149,114"
150114,-79.9621391822,40.6621572117,"150,114"
151114,-79.9503169719,40.6623821669,"151,114"
152114,-79.9384946827,40.6626059168,"152,114"
153114,-79.9266723150,40.6628284616,"153,114"
154114,-79.9148498693,40.6630498012,"154,114"
155114,-79.9030273460,40.6632699355,"155,114"
156114,-79.8912047454,40.6634888645,"156,114"
157114,-79.8793820682,40.6637065883,"157,114"
158114,-79.8675593145,40.6639231068,"158,114"
159114,-79.8557364850,40.6641384201,"159,114"
160114,-79.8439135800,40.6643525280,"160,114"
161114,-79.8320905998,40.6645654307,"161,114"
162114,-79.8202675451,40.6647771280,"162,114"
163114,-79.8084444161,40.6649876199,"163,114"
164114,-79.7966212133,40.6651969066,"164,114"
165114,-79.7847979371,40.6654049879,"165,114"
166114,-79.7729745880,40.6656118638,"166,114"
